Zip_Code,Lat_ft,Long_ft
93652,3271370,5487620
93653,3516900,5479600
93654,3292450,5637200
93656,3218980,5477200
93657,3345950,5633850
93660,3272900,5407250
93662,3251200,5564320
93664,3452440,5737930
93667,3410520,5642420
93668,3305040,5371450
93669,3518560,5598610
93675,3310050,5696450
93701,3326600,5523550
93702,3322670,5533240
93703,3333430,5531320
93704,3345080,5520250
93705,3340630,5512080
93706,3292470,5488490
93710,3353220,5532450
93711,3358200,5512010
93720,3366420,5532660
93721,3320520,5524510
93722,3346700,5497590
93723,3341080,5474940
93725,3281070,5536860
93726,3342630,5531860
93727,3326590,5549840
93728,3329860,5514940
93730,3382360,5534480
93737,3327640,5566000
93741,3333150,5521350
93901,3316960,4975790
93905,3324340,4987800
93906,3340660,4983590
93907,3359410,4975090
93908,3306200,4989140
93920,3106540,4995340
93923,3232080,4919540
93924,3221860,4976090
93925,3288680,5045850
93926,3267990,5044710
93927,3154420,5050270
93930,3142610,5139180
93932,3067010,5084800
93933,3325290,4936190
93940,3291630,4917510
93943,3298130,4909030
93944,3300570,4896910
93950,3306910,4894100
93953,3294880,4888250
93955,3307430,4925200
93960,3219280,5060680
94002,3638770,4803440
94005,3704720,4774150
94010,3659570,4785050
94014,3705870,4764310
94015,3703130,4754280
94019,3631060,4769150
94020,3557470,4815590
94021,3541240,4809530
94022,3581270,4844600
94024,3575770,4860000
94025,3618520,4838350
94027,3615190,4829680
94028,3587090,4824310
94030,3672040,4775160
94035,3599890,4873380
94037,3652490,4743600
94038,3655240,4746450
94040,3586730,4862720
94041,3589500,4865690
94043,3600370,4866120
94044,3675420,4752500
94060,3529010,4785660
94061,3618890,4820510
94062,3602930,4800710
94063,3634700,4828630
94065,3646020,4819470
94066,3681210,4766540
94070,3632030,4811490
94074,3565450,4779410
94080,3692700,4770730
94085,3588500,4883100
94086,3582560,4880560
94087,3575390,4876250
94089,3601660,4883640
94102,3737840,4774170
94103,3735360,4776440
94104,3741920,4779520
94105,3740720,4781780
94107,3732060,4781050
94108,3742090,4777650
94109,3742790,4774000
94110,3726900,4774750
94111,3744710,4780250
94112,3716710,4766000
94114,3730300,4769050
94115,3740460,4769150
94116,3726260,4754050
94117,3734920,4767030
94118,3738990,4761920
94121,3739250,4752440
94122,3732760,4754660
94123,3745870,4769780
94124,3719890,4783090
94127,3722420,4761560
94128,3679560,4781330
94129,3745180,4761060
94130,3752010,4789530
94131,3725980,4766520
94132,3718060,4747700
94133,3746480,4776950
94134,3715650,4775200
94158,3734280,4782360
94301,3610960,4845240
94303,3614240,4853600
94304,3594890,4837850
94305,3604130,4839930
94306,3600370,4850700
94401,3661340,4798710
94402,3649460,4794150
94403,3647920,4802340
94404,3653680,4812860
94501,3733630,4815870
94502,3719320,4824930
94503,3885780,4838060
94505,3756210,5016160
94506,3740140,4924250
94507,3757780,4895410
94508,4030320,4783380
94509,3806010,4953520
94510,3849430,4864100
94512,3855290,4949170
94513,3774620,4980740
94514,3737350,4995870
94515,4044340,4739730
94517,3768870,4930820
94518,3793740,4892600
94519,3807350,4897930
94520,3817420,4889210
94521,3799840,4911720
94523,3795870,4877090
94525,3832770,4835960
94526,3743400,4899570
94528,3752570,4908450
94530,3787980,4814050
94531,3791860,4961680
94533,3913680,4901660
94534,3901330,4869870
94535,3909900,4923370
94536,3654660,4894910
94538,3628310,4896380
94539,3637280,4915860
94541,3694010,4869000
94542,3686180,4884990
94544,3678460,4876240
94545,3679070,4858330
94546,3722870,4867060
94547,3817610,4825110
94548,3796780,5000970
94549,3777110,4864200
94550,3627510,4999210
94551,3716020,4963190
94552,3704400,4891560
94553,3807330,4851930
94555,3647640,4867350
94556,3752140,4864560
94558,3997560,4833800
94559,3904020,4809720
94560,3636310,4879500
94561,3817450,4999770
94563,3767530,4843460
94564,3813880,4817590
94565,3815890,4925940
94566,3681780,4935010
94567,4063750,4786690
94568,3705520,4918420
94569,3830960,4846870
94571,3871820,4974130
94572,3824670,4829990
94574,4013630,4797240
94576,4019940,4774480
94577,3710610,4846680
94578,3706270,4857850
94579,3699540,4848050
94580,3695300,4854270
94582,3723630,4919980
94583,3725820,4898180
94585,3870650,4917620
94586,3652270,4929170
94587,3666020,4878790
94588,3706870,4928960
94589,3866770,4831410
94590,3853200,4830410
94591,3857240,4844980
94592,3862150,4812770
94595,3765490,4877550
94596,3771160,4887260
94597,3782600,4877760
94598,3775920,4898480
94599,3966700,4802760
94601,3733500,4832480
94602,3743210,4836200
94603,3718970,4843750
94605,3726270,4852170
94606,3739620,4825070
94607,3746280,4809910
94608,3756060,4814390
94609,3755330,4820350
94610,3746680,4826650
94611,3753330,4834090
94612,3745880,4818900
94613,3734310,4842680
94618,3758470,4828080
94619,3738190,4845510
94621,3718550,4834740
94702,3767130,4814640
94703,3766260,4817640
94704,3766750,4824110
94705,3763930,4827560
94706,3776000,4812520
94707,3778760,4817300
94708,3779180,4823000
94709,3771580,4820520
94710,3769120,4809720
94720,3769760,4827250
94801,3800080,4789520
