Van ID,Employer,Van Type,Vehicle Capacity,Industry,Industry Type,Origin,Destination,Origin Zip,Destination Zip,Daily Round Trip Mileage
2445,Scripps Medical Foundation,2020 Dodge DURA - 7 Seats,7,Health Care & Social Assistance,Non-Federal,East Suburban,North City,91945,92121,56
2447,Camp Pendleton,2020 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,North County West,92591,92055,108
2448,BAE Systems,2018 Volkswagen ATLAS - 7 Seats,7,Manufacturing,Non-Federal,South Suburban,Central,92173,92113,65
2455,Palomar Medical Center,2020 Nissan PATH - 7 Seats,7,Health Care & Social Assistance,Non-Federal,Riverside County,North County East,92592,92029,60
2456,Illumina,2020 Ford EXPE - 8 Seats,8,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,North City,92591,92122,112
2458,Illumina,2018 Volkswagen ATLAS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Central,North City,92104,92122,36
2460,Sound United,2019 Ford EXPL - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,South Suburban,North County East,92154,92081,102
2464,Genetech - Oceanside,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,South Suburban,North County West,91910,92056,56
2465,Jerome's Furniture,2019 Ford EXPE - 8 Seats,8,Manufacturing,Non-Federal,South Suburban,North City,92173,92127,70
2466,Jerome's Furniture,2017 Ford TRANS - 9 Seats,9,Manufacturing,Non-Federal,South Suburban,North City,92173,92127,72
2471,General Atomics,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,North City,92596,92064,90
2472,VA Hospital San Diego,2017 Ford TRANS - 7 Seats,7,Government & Public Administration,Federal,East Suburban,North City,91941,92161,46
2474,Scripps Clinic Rancho Bernardo,2018 Volkswagen ATLAS - 7 Seats,7,Health Care & Social Assistance,Non-Federal,East Suburban,North City,92020,92127,71
2475,Illumina,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,North County East,North City,92069,92122,66
2477,Jerome's Furniture,2017 Ford TRANS - 15 Seats,15,Manufacturing,Non-Federal,South Suburban,North City,92173,92127,110
2480,Navy,2019 Ford EXPL - 7 Seats,7,Military,Military,Riverside County,Central,92592,92106,144
2481,US Border Patrol,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Federal,East Suburban,East County,92021,91962,50
2482,Illumina,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Orange County,North City,92694,92122,128
2483,Scripps Health,2019 Volkswagen ATLAS - 7 Seats,7,Health Care & Social Assistance,Non-Federal,Central,North City,92139,92127,62
2484,Illumina,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,North City,North City,92128,92122,38
2485,VA Medical Center,2019 Chevrolet TRAV - 7 Seats,7,Health Care & Social Assistance,Federal,South Suburban,North City,92154,92161,58
2488,Port of San Diego,2019 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non-Federal,South Suburban,Central,91913,92101,65
2489,Thermo Fisher Scientific,2019 Volkswagen ATLAS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Orange County,North County West,92656,92008,94
2491,Naval Base San Diego,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,Central,92563,92136,122
2493,Camp Pendleton,2019 Ford EXPE - 8 Seats,8,Military,Military,Riverside County,North County West,92592,92055,52
2502,MA Engineers,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,South Suburban,North City,91902,92121,30
2507,Magnaflow,2019 Ford EXPE - 8 Seats,8,Manufacturing,Non-Federal,Riverside County,North County West,92530,92056,98
2508,Magnaflow,2018 Ford EXPE - 8 Seats,8,Manufacturing,Non-Federal,Orange County,North County West,92705,92056,116
2513,US Border Patrol,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Federal,Imperial County,East County,92251,91905,104
2532,Johnson Matthey,2018 Ford Explorer - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Central,North City,92114,92128,65
2533,Naval Base San Diego,2019 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,Central,92596,92136,134
2534,UCSD,2019 Ford TRANS - 10 Seats,10,Education Services & Academic Institutions,Non-Federal,Central,North City,91950,92093,38
2536,Naval Base El Centro,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,North City,Imperial County,92108,92243,208
2541,Camp Pendleton,2020 Buick ENCL - 7 Seats,7,Military,Military,Riverside County,North County West,92585,92055,92
2542,Illumina,2019 Dodge DURA - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,North County West,North City,92024,92122,79
2544,US Border Patrol,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Federal,East Suburban,East County,91942,91962,74
2550,US Border Patrol,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Federal,Riverside County,East Suburban,92563,92071,126
2551,BAE Systems,2018 Volkswagen ATLAS - 7 Seats,7,Manufacturing,Non-Federal,South Suburban,Central,91932,92113,71
2558,BAE Systems,2019 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,South Suburban,Central,91932,92113,22
2565,US Border Patrol,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Federal,Riverside County,East Suburban,92591,92071,154
2568,US Border Patrol,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Federal,East Suburban,East County,92071,91905,88
2577,Naval Base San Diego,2018 Volkswagen ATLAS - 7 Seats,7,Military,Military,East Suburban,North City,91915,92122,48
2584,Illumina,2018 Ford TRANS - 8 Seats,8,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,Central,92592,92135,138
2585,NASNI,2019 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,North City,92584,92130,108
2587,Volcano Corporation,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,North City,North County West,92124,92055,112
2590,Camp Pendleton,2019 Dodge DURA - 7 Seats,7,Military,Military,South Suburban,North City,91913,92161,95
